번호,분류,함수/수식,사용법,구문,예시,설명,결과,주의사항
1,문자열,CHAR_LENGTH,문자열의 문자 개수를 구합니다.,CHAR_LENGTH(문자열),CHAR_LENGTH('apache'),문자열 'apache'의 문자 개수인 6을 반환합니다.,6,"Oracle의 LENGTH와 동일 기능이지만, Oracle은 바이트 단위(LENGTHB)와 문자 단위(LENGTH)를 구분합니다."
2,문자열,CHARACTER_LENGTH,CHAR_LENGTH와 동일하게 문자열의 문자 수를 구합니다.,CHARACTER_LENGTH(문자열),CHARACTER_LENGTH('calcite'),문자열 'calcite'의 문자 개수인 7을 반환합니다.,7,Oracle에는 CHARACTER_LENGTH가 없고 LENGTH만 사용합니다. 표준 SQL 함수명입니다.
3,문자열,UPPER,영문 알파벳을 대문자로 변환합니다.,UPPER(문자열),UPPER('hello'),'hello'를 대문자로 변환한 'HELLO'를 반환합니다.,HELLO,Oracle과 동일하게 동작합니다. 다만 Oracle은 NLS_SORT 설정에 따라 로케일별 대소문자 규칙이 달라질 수 있습니다.
4,문자열,LOWER,영문 알파벳을 소문자로 변환합니다.,LOWER(문자열),LOWER('WORLD'),'WORLD'를 소문자로 변환한 'world'를 반환합니다.,world,Oracle과 동일하게 동작하여 혼동 우려가 적습니다.
5,문자열,POSITION,문자열 안에서 부분 문자열이 처음 나타나는 위치를 찾습니다.,POSITION(찾을문자열 IN 대상문자열),POSITION('a' IN 'apache'),'apache'에서 'a'가 처음 나오는 위치인 1을 반환합니다.,1,"Oracle에는 POSITION이 없고 대신 INSTR(대상문자열, 찾을문자열)을 사용합니다. 인자 순서가 반대이므로 주의가 필요합니다."
6,문자열,TRIM,문자열의 앞/뒤 공백 또는 지정 문자를 제거합니다.,TRIM([BOTH|LEADING|TRAILING] 제거할문자 FROM 문자열),TRIM(BOTH 'x' FROM 'xxhelloxx'),앞뒤의 'x' 문자를 모두 제거한 'hello'를 반환합니다.,hello,"Oracle의 TRIM은 단일 문자만 제거 가능하며, 여러 문자 제거 시 Oracle은 LTRIM/RTRIM(문자열, 문자셋)을 사용해야 합니다."
7,문자열,SUBSTRING,문자열의 지정 위치부터 일부를 추출합니다.,SUBSTRING(문자열 FROM 시작위치 [FOR 길이]),SUBSTRING('20250115' FROM 5 FOR 2),5번째 위치부터 2자리인 '01'(월)을 반환합니다.,1,"Oracle은 SUBSTR(문자열, 시작위치, 길이) 구문을 사용하며 콤마로 구분합니다. 또한 Oracle의 SUBSTR은 음수 시작위치(끝에서부터)를 지원하지만 Calcite의 SUBSTRING은 음수 위치를 지원하지 않습니다."
8,문자열,OVERLAY,문자열의 특정 구간을 다른 문자열로 치환합니다.,OVERLAY(원본문자열 PLACING 삽입문자열 FROM 시작위치 [FOR 길이]),OVERLAY('010-1234-5678' PLACING '****' FROM 5 FOR 4),5번째 위치부터 4자리를 '****'로 바꾼 '010-****-5678'을 반환합니다.,010-****-5678,"Oracle에는 OVERLAY 함수가 없으며, 동일 기능을 위해 SUBSTR과 문자열 연결(||)을 조합해서 직접 구현해야 합니다."
9,문자열,INITCAP,"각 단어의 첫 글자를 대문자로, 나머지를 소문자로 변환합니다.",INITCAP(문자열),INITCAP('apache calcite'),각 단어 첫 글자를 대문자로 바꾼 'Apache Calcite'를 반환합니다.,Apache Calcite,"Oracle과 동일한 이름, 동일한 기능으로 제공되어 혼동 우려가 적습니다."
10,문자열,|| (문자열 연결),두 문자열을 이어 붙입니다.,문자열1 || 문자열2,'홍' || '길동',두 문자열을 이어 붙인 '홍길동'을 반환합니다.,홍길동,"Oracle과 동일한 연산자를 사용하지만, Oracle은 NULL과 연결 시 NULL을 무시하고 나머지를 반환하는 반면 Calcite는 NULL이 포함되면 결과 전체가 NULL이 될 수 있습니다."
